AA 1 ADJ prd,
AB 1 ADJ prd,gru,
AC 1 ADJ prd,kom,
AD 1 ADJ prd,sup,
AE 1 ADJ gru,def,mas,sin,nom,
AF 1 ADJ gru,def,mas,sin,gen,
AG 1 ADJ gru,def,mas,sin,dat,
AH 1 ADJ gru,def,mas,sin,akk,
AM 1 ADJ gru,def,fem,sin,nom,
AN 1 ADJ gru,def,fem,sin,gen,
AO 1 ADJ gru,def,fem,sin,dat,
AP 1 ADJ gru,def,fem,sin,akk,
AU 1 ADJ gru,def,neu,sin,nom,
AV 1 ADJ gru,def,neu,sin,gen,
AW 1 ADJ gru,def,neu,sin,dat,
AX 1 ADJ gru,def,neu,sin,akk,
AY 1 ADJ gru,def,plu,nom,
AZ 1 ADJ gru,def,plu,gen,
Aa 1 ADJ gru,def,plu,dat,
Ab 1 ADJ gru,def,plu,akk,
Ac 1 ADJ gru,ind,mas,sin,nom,
Ad 1 ADJ gru,ind,mas,sin,gen,
Ae 1 ADJ gru,ind,mas,sin,dat,
Af 1 ADJ gru,ind,mas,sin,akk,
Ag 1 ADJ gru,ind,mas,dat,
Al 1 ADJ gru,ind,fem,sin,nom,
Am 1 ADJ gru,ind,fem,sin,gen,
An 1 ADJ gru,ind,fem,sin,dat,
Ao 1 ADJ gru,ind,fem,sin,akk,
At 1 ADJ gru,ind,neu,sin,nom,
Au 1 ADJ gru,ind,neu,sin,gen,
Av 1 ADJ gru,ind,neu,sin,dat,
Aw 1 ADJ gru,ind,neu,sin,akk,
Ax 1 ADJ gru,ind,neu,gen,
Ay 1 ADJ gru,ind,neu,dat,
Az 1 ADJ gru,ind,plu,nom,
BA 1 ADJ gru,ind,plu,gen,
BB 1 ADJ gru,ind,plu,dat,
BC 1 ADJ gru,ind,plu,akk,
BD 1 ADJ gru,sol,mas,sin,nom,
BE 1 ADJ gru,sol,mas,sin,gen,
BF 1 ADJ gru,sol,mas,sin,dat,
BG 1 ADJ gru,sol,mas,sin,akk,
BL 1 ADJ gru,sol,fem,sin,nom,
BM 1 ADJ gru,sol,fem,sin,gen,
BN 1 ADJ gru,sol,fem,sin,dat,
BO 1 ADJ gru,sol,fem,sin,akk,
BT 1 ADJ gru,sol,neu,sin,nom,
BU 1 ADJ gru,sol,neu,sin,gen,
BV 1 ADJ gru,sol,neu,sin,dat,
BW 1 ADJ gru,sol,neu,sin,akk,
BX 1 ADJ gru,sol,plu,nom,
BY 1 ADJ gru,sol,plu,gen,
BZ 1 ADJ gru,sol,plu,dat,
Ba 1 ADJ gru,sol,plu,akk,
Bb 1 ADJ kom,def,mas,sin,nom,
Bc 1 ADJ kom,def,mas,sin,gen,
Bd 1 ADJ kom,def,mas,sin,dat,
Be 1 ADJ kom,def,mas,sin,akk,
Bj 1 ADJ kom,def,fem,sin,nom,
Bk 1 ADJ kom,def,fem,sin,gen,
Bl 1 ADJ kom,def,fem,sin,dat,
Bm 1 ADJ kom,def,fem,sin,akk,
Br 1 ADJ kom,def,neu,sin,nom,
Bs 1 ADJ kom,def,neu,sin,gen,
Bt 1 ADJ kom,def,neu,sin,dat,
Bu 1 ADJ kom,def,neu,sin,akk,
Bv 1 ADJ kom,def,plu,nom,
Bw 1 ADJ kom,def,plu,gen,
Bx 1 ADJ kom,def,plu,dat,
By 1 ADJ kom,def,plu,akk,
Bz 1 ADJ kom,ind,mas,sin,nom,
CA 1 ADJ kom,ind,mas,sin,gen,
CB 1 ADJ kom,ind,mas,sin,dat,
CC 1 ADJ kom,ind,mas,sin,akk,
CH 1 ADJ kom,ind,fem,sin,nom,
CI 1 ADJ kom,ind,fem,sin,gen,
CJ 1 ADJ kom,ind,fem,sin,dat,
CK 1 ADJ kom,ind,fem,sin,akk,
CP 1 ADJ kom,ind,neu,sin,nom,
CQ 1 ADJ kom,ind,neu,sin,gen,
CR 1 ADJ kom,ind,neu,sin,dat,
CS 1 ADJ kom,ind,neu,sin,akk,
CT 1 ADJ kom,ind,plu,nom,
CU 1 ADJ kom,ind,plu,gen,
CV 1 ADJ kom,ind,plu,dat,
CW 1 ADJ kom,ind,plu,akk,
CX 1 ADJ kom,sol,mas,sin,nom,
CY 1 ADJ kom,sol,mas,sin,gen,
CZ 1 ADJ kom,sol,mas,sin,dat,
Ca 1 ADJ kom,sol,mas,sin,akk,
Cf 1 ADJ kom,sol,fem,sin,nom,
Cg 1 ADJ kom,sol,fem,sin,gen,
Ch 1 ADJ kom,sol,fem,sin,dat,
Ci 1 ADJ kom,sol,fem,sin,akk,
Cn 1 ADJ kom,sol,neu,sin,nom,
Co 1 ADJ kom,sol,neu,sin,gen,
Cp 1 ADJ kom,sol,neu,sin,dat,
Cq 1 ADJ kom,sol,neu,sin,akk,
Cr 1 ADJ kom,sol,plu,nom,
Cs 1 ADJ kom,sol,plu,gen,
Ct 1 ADJ kom,sol,plu,dat,
Cu 1 ADJ kom,sol,plu,akk,
Cv 1 ADJ sup,def,mas,sin,nom,
Cw 1 ADJ sup,def,mas,sin,gen,
Cx 1 ADJ sup,def,mas,sin,dat,
Cy 1 ADJ sup,def,mas,sin,akk,
DD 1 ADJ sup,def,fem,sin,nom,
DE 1 ADJ sup,def,fem,sin,gen,
DF 1 ADJ sup,def,fem,sin,dat,
DG 1 ADJ sup,def,fem,sin,akk,
DL 1 ADJ sup,def,neu,sin,nom,
DM 1 ADJ sup,def,neu,sin,gen,
DN 1 ADJ sup,def,neu,sin,dat,
DO 1 ADJ sup,def,neu,sin,akk,
DP 1 ADJ sup,def,plu,nom,
DQ 1 ADJ sup,def,plu,gen,
DR 1 ADJ sup,def,plu,dat,
DS 1 ADJ sup,def,plu,akk,
DT 1 ADJ sup,ind,mas,sin,nom,
DU 1 ADJ sup,ind,mas,sin,gen,
DV 1 ADJ sup,ind,mas,sin,dat,
DW 1 ADJ sup,ind,mas,sin,akk,
Db 1 ADJ sup,ind,fem,sin,nom,
Dc 1 ADJ sup,ind,fem,sin,gen,
Dd 1 ADJ sup,ind,fem,sin,dat,
De 1 ADJ sup,ind,fem,sin,akk,
Dj 1 ADJ sup,ind,neu,sin,nom,
Dk 1 ADJ sup,ind,neu,sin,gen,
Dl 1 ADJ sup,ind,neu,sin,dat,
Dm 1 ADJ sup,ind,neu,sin,akk,
Dn 1 ADJ sup,ind,plu,nom,
Do 1 ADJ sup,ind,plu,gen,
Dp 1 ADJ sup,ind,plu,dat,
Dq 1 ADJ sup,ind,plu,akk,
Dr 1 ADJ sup,sol,mas,sin,nom,
Ds 1 ADJ sup,sol,mas,sin,gen,
Dt 1 ADJ sup,sol,mas,sin,dat,
Du 1 ADJ sup,sol,mas,sin,akk,
Dz 1 ADJ sup,sol,fem,sin,nom,
EA 1 ADJ sup,sol,fem,sin,gen,
EB 1 ADJ sup,sol,fem,sin,dat,
EC 1 ADJ sup,sol,fem,sin,akk,
EH 1 ADJ sup,sol,neu,sin,nom,
EI 1 ADJ sup,sol,neu,sin,gen,
EJ 1 ADJ sup,sol,neu,sin,dat,
EK 1 ADJ sup,sol,neu,sin,akk,
EL 1 ADJ sup,sol,plu,nom,
EM 1 ADJ sup,sol,plu,gen,
EN 1 ADJ sup,sol,plu,dat,
EO 1 ADJ sup,sol,plu,akk,
Qu 1 PA1 prd,gru,
Qv 1 PA1 prd,kom,
Qw 1 PA1 prd,sup,
Qx 1 PA1 gru,def,mas,sin,nom,
Qy 1 PA1 gru,def,mas,sin,gen,
Qz 1 PA1 gru,def,mas,sin,dat,
RA 1 PA1 gru,def,mas,sin,akk,
RF 1 PA1 gru,def,fem,sin,nom,
RG 1 PA1 gru,def,fem,sin,gen,
RH 1 PA1 gru,def,fem,sin,dat,
RI 1 PA1 gru,def,fem,sin,akk,
RN 1 PA1 gru,def,neu,sin,nom,
RO 1 PA1 gru,def,neu,sin,gen,
RP 1 PA1 gru,def,neu,sin,dat,
RQ 1 PA1 gru,def,neu,sin,akk,
RR 1 PA1 gru,def,plu,nom,
RS 1 PA1 gru,def,plu,gen,
RT 1 PA1 gru,def,plu,dat,
RU 1 PA1 gru,def,plu,akk,
RV 1 PA1 gru,ind,mas,sin,nom,
RW 1 PA1 gru,ind,mas,sin,gen,
RX 1 PA1 gru,ind,mas,sin,dat,
RY 1 PA1 gru,ind,mas,sin,akk,
Rd 1 PA1 gru,ind,fem,sin,nom,
Re 1 PA1 gru,ind,fem,sin,gen,
Rf 1 PA1 gru,ind,fem,sin,dat,
Rg 1 PA1 gru,ind,fem,sin,akk,
Rl 1 PA1 gru,ind,neu,sin,nom,
Rm 1 PA1 gru,ind,neu,sin,gen,
Rn 1 PA1 gru,ind,neu,sin,dat,
Ro 1 PA1 gru,ind,neu,sin,akk,
Rp 1 PA1 gru,ind,plu,nom,
Rq 1 PA1 gru,ind,plu,gen,
Rr 1 PA1 gru,ind,plu,dat,
Rs 1 PA1 gru,ind,plu,akk,
Rt 1 PA1 gru,sol,mas,sin,nom,
Ru 1 PA1 gru,sol,mas,sin,gen,
Rv 1 PA1 gru,sol,mas,sin,dat,
Rw 1 PA1 gru,sol,mas,sin,akk,
SB 1 PA1 gru,sol,fem,sin,nom,
SC 1 PA1 gru,sol,fem,sin,gen,
SD 1 PA1 gru,sol,fem,sin,dat,
SE 1 PA1 gru,sol,fem,sin,akk,
SJ 1 PA1 gru,sol,neu,sin,nom,
SK 1 PA1 gru,sol,neu,sin,gen,
SL 1 PA1 gru,sol,neu,sin,dat,
SM 1 PA1 gru,sol,neu,sin,akk,
SN 1 PA1 gru,sol,plu,nom,
SO 1 PA1 gru,sol,plu,gen,
SP 1 PA1 gru,sol,plu,dat,
SQ 1 PA1 gru,sol,plu,akk,
SR 1 PA1 kom,def,mas,sin,nom,
SS 1 PA1 kom,def,mas,sin,gen,
ST 1 PA1 kom,def,mas,sin,dat,
SU 1 PA1 kom,def,mas,sin,akk,
SZ 1 PA1 kom,def,fem,sin,nom,
Sa 1 PA1 kom,def,fem,sin,gen,
Sb 1 PA1 kom,def,fem,sin,dat,
Sc 1 PA1 kom,def,fem,sin,akk,
Sh 1 PA1 kom,def,neu,sin,nom,
Si 1 PA1 kom,def,neu,sin,gen,
Sj 1 PA1 kom,def,neu,sin,dat,
Sk 1 PA1 kom,def,neu,sin,akk,
Sl 1 PA1 kom,def,plu,nom,
Sm 1 PA1 kom,def,plu,gen,
Sn 1 PA1 kom,def,plu,dat,
So 1 PA1 kom,def,plu,akk,
Sp 1 PA1 kom,ind,mas,sin,nom,
Sq 1 PA1 kom,ind,mas,sin,gen,
Sr 1 PA1 kom,ind,mas,sin,dat,
Ss 1 PA1 kom,ind,mas,sin,akk,
Sx 1 PA1 kom,ind,fem,sin,nom,
Sy 1 PA1 kom,ind,fem,sin,gen,
Sz 1 PA1 kom,ind,fem,sin,dat,
TA 1 PA1 kom,ind,fem,sin,akk,
TF 1 PA1 kom,ind,neu,sin,nom,
TG 1 PA1 kom,ind,neu,sin,gen,
TH 1 PA1 kom,ind,neu,sin,dat,
TI 1 PA1 kom,ind,neu,sin,akk,
TJ 1 PA1 kom,ind,plu,nom,
TK 1 PA1 kom,ind,plu,gen,
TL 1 PA1 kom,ind,plu,dat,
TM 1 PA1 kom,ind,plu,akk,
TN 1 PA1 kom,sol,mas,sin,nom,
TO 1 PA1 kom,sol,mas,sin,gen,
TP 1 PA1 kom,sol,mas,sin,dat,
